transaction_id,customer_id,date,product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
8613,683,2023-11-30 13:49:34,6,1,2.92,Credit Card,Online,,0.0,0.0
1144,166,2023-11-30 16:33:24,15,1,3.67,Credit Card,Online,,2.0,0.37
9130,263,2023-11-30 09:36:36,21,1,6.37,Mobile Pay,In-store,5.0,0.0,0.0
6649,576,2023-11-30 12:24:33,15,1,3.16,Mobile Pay,In-store,2.0,0.0,0.0
88,276,2023-11-30 16:38:30,15,1,4.54,Credit Card,Online,,8.0,0.45
6754,280,2023-11-30 16:19:03,21,1,3.92,Credit Card,Online,,4.0,0.39
10653,478,2023-11-30 16:16:45,21,7,4.35,Mobile Pay,In-store,2.0,0.0,0.0
2589,231,2023-11-30 15:55:10,21,1,2.27,Cash,Online,,0.0,0.0
877,467,2023-11-30 11:52:24,5,1,2.62,Mobile Pay,In-store,4.0,7.0,0.26
1858,310,2023-11-30 09:20:08,15,1,3.95,Cash,In-store,2.0,0.0,0.0
3232,340,2023-12-01 15:23:19,15,8,3.86,Credit Card,In-store,4.0,0.0,0.0
1300,623,2023-12-01 09:35:01,15,3,3.21,Mobile Pay,In-store,4.0,0.0,0.0
4545,454,2023-12-01 09:51:18,5,2,5.9,Credit Card,Online,,0.0,0.0
7275,452,2023-12-01 14:15:43,5,1,8.91,Cash,In-store,1.0,0.0,0.0
8759,512,2023-12-01 11:37:43,5,1,2.64,Credit Card,In-store,5.0,7.0,0.26
8763,106,2023-12-01 15:18:28,15,1,3.08,Mobile Pay,In-store,2.0,0.0,0.0
3635,608,2023-12-01 16:44:08,15,4,3.8,Cash,Online,,0.0,0.0
8903,511,2023-12-01 14:34:53,21,3,6.29,Credit Card,Online,,0.0,1.26
6225,161,2023-12-01 15:42:04,21,5,5.13,Cash,Online,,10.0,2.05
6516,177,2023-12-01 10:38:43,5,1,2.79,Mobile Pay,In-store,1.0,0.0,0.0
6132,177,2023-12-01 10:56:53,21,1,6.23,Credit Card,In-store,2.0,0.0,0.0
466,324,2023-12-01 15:53:48,15,1,4.01,Cash,Online,,3.0,0.4
5661,639,2023-12-01 10:01:01,6,1,4.17,Credit Card,Online,,0.0,0.0
592,352,2023-12-01 13:20:43,15,1,6.46,Cash,Online,,0.0,0.0
10805,374,2023-12-01 10:51:41,21,1,5.8,Credit Card,In-store,3.0,0.0,0.0
6581,598,2023-12-01 16:29:40,15,1,5.85,Credit Card,Online,,0.0,0.0
5093,450,2023-12-01 10:55:55,6,1,4.4,Cash,In-store,5.0,7.0,0.44
5638,599,2023-12-01 16:20:15,5,1,7.79,Credit Card,In-store,5.0,0.0,0.0
4694,452,2023-12-01 09:23:55,15,2,7.88,Cash,In-store,2.0,0.0,0.0
1994,135,2023-12-01 10:43:21,15,1,3.46,Cash,In-store,1.0,0.0,0.0
8690,639,2023-12-01 12:01:24,21,1,3.83,Credit Card,In-store,3.0,0.0,0.0
2079,410,2023-12-01 09:41:17,5,1,5.94,Credit Card,In-store,5.0,0.0,0.0
3164,137,2023-12-01 10:42:55,21,2,3.02,Credit Card,In-store,5.0,0.0,0.0
2398,678,2023-12-01 12:37:39,15,1,8.87,Cash,Online,,0.0,0.0
5887,448,2023-12-01 12:09:37,21,2,4.79,Mobile Pay,Online,,0.0,0.0
9385,416,2023-12-01 12:45:12,5,1,4.81,Credit Card,In-store,1.0,0.0,0.0
3081,536,2023-12-01 12:51:58,21,1,3.43,Mobile Pay,In-store,5.0,0.0,0.0
2235,690,2023-12-01 16:00:10,15,1,4.88,Credit Card,In-store,2.0,0.0,0.0
2290,717,2023-12-01 09:54:28,21,1,4.34,Credit Card,Online,,0.0,0.0
9466,192,2023-12-01 16:31:09,5,1,4.0,Mobile Pay,In-store,5.0,0.0,0.0
10188,155,2023-12-01 10:30:47,15,1,4.29,Credit Card,Online,,0.0,0.0
5983,268,2023-12-01 13:25:56,5,3,2.03,Mobile Pay,In-store,4.0,0.0,0.0
1822,719,2023-12-01 15:21:05,6,1,3.45,Credit Card,In-store,3.0,9.0,0.35
9923,624,2023-12-01 12:25:44,15,5,3.32,Mobile Pay,Online,,0.0,0.0
9160,197,2023-12-01 16:18:34,5,1,7.64,Mobile Pay,In-store,4.0,0.0,0.0
9373,707,2023-12-01 13:04:41,6,1,5.89,Cash,Online,,8.0,0.59
2300,454,2023-12-01 16:34:49,15,1,7.75,Cash,In-store,3.0,0.0,0.0
2459,713,2023-12-01 09:23:08,5,6,2.2,Mobile Pay,Online,,0.0,0.0
10235,638,2023-12-01 10:47:31,15,2,4.4,Credit Card,In-store,1.0,0.0,0.0
6734,109,2023-12-01 14:30:26,15,1,2.02,Credit Card,Online,,0.0,0.0
1912,209,2023-12-01 16:20:56,5,1,1.77,Mobile Pay,Online,,0.0,0.0
9717,503,2023-12-02 14:40:31,15,2,3.83,Cash,In-store,4.0,0.0,0.0
1849,384,2023-12-02 10:55:12,5,4,3.23,Credit Card,Online,,0.0,0.0
9737,505,2023-12-02 09:40:39,15,1,2.75,Mobile Pay,In-store,4.0,0.0,0.0
5674,315,2023-12-02 16:24:26,21,1,4.04,Credit Card,In-store,3.0,6.0,0.4
5593,435,2023-12-02 09:35:31,15,1,8.86,Credit Card,Online,,0.0,0.0
1127,208,2023-12-02 16:31:58,15,5,4.77,Credit Card,In-store,5.0,0.0,0.0
10816,327,2023-12-02 11:17:59,21,1,4.68,Credit Card,Online,,0.0,0.0
184,347,2023-12-02 10:34:50,6,1,4.04,Mobile Pay,In-store,3.0,0.0,0.0
7775,674,2023-12-02 10:26:26,15,1,5.75,Credit Card,In-store,3.0,9.0,0.57
4695,213,2023-12-02 12:09:03,6,1,4.75,Mobile Pay,Online,,0.0,0.0
481,296,2023-12-02 16:43:40,5,2,2.82,Credit Card,Online,,0.0,0.0
3203,105,2023-12-02 16:51:47,21,5,8.3,Credit Card,In-store,1.0,0.0,0.0
192,620,2023-12-02 11:44:52,15,1,3.19,Mobile Pay,Online,,0.0,0.0
1528,678,2023-12-02 16:14:43,6,1,2.57,Mobile Pay,Online,,0.0,0.0
1431,546,2023-12-02 12:14:57,21,1,2.32,Cash,In-store,2.0,0.0,0.0
