transaction_id,customer_id,date,product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
8613,683,2023-11-30 15:02:55,6,1,2.92,Credit Card,Online,,0.0,0.0
1144,166,2023-11-30 12:43:09,15,1,3.67,Credit Card,Online,,2.0,0.37
9130,263,2023-11-30 13:12:50,21,1,6.37,Mobile Pay,In-store,5.0,0.0,0.0
6649,576,2023-11-30 12:39:16,15,1,3.16,Mobile Pay,In-store,2.0,0.0,0.0
88,276,2023-11-30 12:31:58,15,1,4.54,Credit Card,Online,,8.0,0.45
6754,280,2023-11-30 14:45:41,21,1,3.92,Credit Card,Online,,4.0,0.39
10653,478,2023-11-30 15:09:47,21,7,4.35,Mobile Pay,In-store,2.0,0.0,0.0
2589,231,2023-11-30 10:18:44,21,1,2.27,Cash,Online,,0.0,0.0
877,467,2023-11-30 13:35:26,5,1,2.62,Mobile Pay,In-store,4.0,7.0,0.26
1858,310,2023-11-30 13:59:33,15,1,3.95,Cash,In-store,2.0,0.0,0.0
3232,340,2023-12-01 13:04:45,15,8,3.86,Credit Card,In-store,4.0,0.0,0.0
1300,623,2023-12-01 15:32:25,15,3,3.21,Mobile Pay,In-store,4.0,0.0,0.0
4545,454,2023-12-01 11:25:35,5,2,5.9,Credit Card,Online,,0.0,0.0
7275,452,2023-12-01 10:48:17,5,1,8.91,Cash,In-store,1.0,0.0,0.0
8759,512,2023-12-01 10:18:37,5,1,2.64,Credit Card,In-store,5.0,7.0,0.26
8763,106,2023-12-01 16:11:38,15,1,3.08,Mobile Pay,In-store,2.0,0.0,0.0
3635,608,2023-12-01 15:38:10,15,4,3.8,Cash,Online,,0.0,0.0
8903,511,2023-12-01 12:22:46,21,3,6.29,Credit Card,Online,,0.0,1.26
6225,161,2023-12-01 14:36:51,21,5,5.13,Cash,Online,,10.0,2.05
6516,177,2023-12-01 12:23:09,5,1,2.79,Mobile Pay,In-store,1.0,0.0,0.0
6132,177,2023-12-01 14:20:17,21,1,6.23,Credit Card,In-store,2.0,0.0,0.0
466,324,2023-12-01 11:08:32,15,1,4.01,Cash,Online,,3.0,0.4
5661,639,2023-12-01 16:31:38,6,1,4.17,Credit Card,Online,,0.0,0.0
592,352,2023-12-01 12:59:26,15,1,6.46,Cash,Online,,0.0,0.0
10805,374,2023-12-01 15:10:59,21,1,5.8,Credit Card,In-store,3.0,0.0,0.0
6581,598,2023-12-01 13:15:39,15,1,5.85,Credit Card,Online,,0.0,0.0
5093,450,2023-12-01 13:17:23,6,1,4.4,Cash,In-store,5.0,7.0,0.44
5638,599,2023-12-01 10:08:23,5,1,7.79,Credit Card,In-store,5.0,0.0,0.0
4694,452,2023-12-01 12:05:22,15,2,7.88,Cash,In-store,2.0,0.0,0.0
1994,135,2023-12-01 11:19:57,15,1,3.46,Cash,In-store,1.0,0.0,0.0
